#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2005-12-05T19:15:01
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24078	
#INFO	-c=010.684700+41.268872,bm=15.014000/15.011	

#RESOURCE=2246
#Name: II/246
#Title:	2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#Table	II_246_out:
#Name: II/246/out
#Title:	The Point Source catalogue of 470,992,970 sources. \inputViz{2mass.intro.htx}
#Column	_RAJ2000	(F9.5)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F9.5)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=POS_EQ_DEC_MAIN]
#Column	Jmag	(F6.3)	?(j_m) J selected default magnitude (2)	[ucd=PHOT_JHN_J]
#Column	e_Jmag	(F6.3)	?(j_msigcom) J total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Hmag	(F6.3)	?(h_m) H selected default magnitude (2)	[ucd=PHOT_JHN_H]
#Column	e_Hmag	(F6.3)	?(h_msigcom) H total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=PHOT_JHN_K]
#Column	e_Kmag	(F6.3)	?(k_msigcom) K total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Qflg	(A3)	(ph_qual) JHK Photometric quality flag (5)	[ucd=CODE_QUALITY]
#Column	Rflg	(A3)	(rd_flg) Source of JHK default mag (6)	[ucd=REFER_CODE]
#Column	Bflg	(A3)	(bl_flg) JHK components fit to source (7)	[ucd=CODE_MISC]
#Column	Cflg	(A3)	(cc_flg) Artifact contamination, confusion (8)	[ucd=CODE_MISC]
#Column	Xflg	(I1)	[0,2] (gal_contam) Extended source contamination (10)	[ucd=CODE_MISC]
#Column	Aflg	(I1)	[0,1] (mp_flg) Association with asteroid or comet (11)	[ucd=CODE_MISC]
#Column	Opt	(A3)	Show the nearby Optical Sources from USNO and GSC Catalogues        (link)	[ucd=DATA_LINK]

_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg	Opt
010.58666	+41.16464	010.586661	+41.164639	16.586	 0.175	15.602	 0.195	14.518	      	CCU	220	110	000	2	0	Opt
010.59082	+41.18460	010.590820	+41.184601	16.831	 0.226	15.791	 0.198	15.355	 0.206	DCC	222	111	000	2	0	Opt
010.57550	+41.17313	010.575498	+41.173134	16.956	 0.249	15.964	 0.212	15.207	 0.188	DCC	222	111	000	2	0	Opt
010.57648	+41.15651	010.576483	+41.156509	16.562	 0.160	15.601	      	15.021	      	CUU	200	100	000	2	0	Opt
010.57572	+41.18071	010.575720	+41.180710	16.694	 0.185	15.159	      	15.053	      	CUU	200	100	000	2	0	Opt
010.56644	+41.16771	010.566437	+41.167706	16.339	 0.145	14.934	      	15.386	 0.204	BUC	202	101	s0s	2	0	Opt
010.56733	+41.16696	010.567331	+41.166962	15.696	      	15.354	 0.154	14.556	      	UBU	020	010	000	2	0	Opt
010.57023	+41.18409	010.570234	+41.184086	16.740	 0.187	15.719	 0.182	15.535	 0.243	CCD	222	111	000	2	0	Opt
010.57440	+41.14559	010.574403	+41.145592	16.626	 0.177	15.820	 0.211	14.676	      	CCU	220	110	000	2	0	Opt
010.57311	+41.17211	010.573111	+41.172108	16.415	 0.144	15.611	 0.165	15.221	 0.192	BCC	222	111	000	2	0	Opt
010.57389	+41.15790	010.573885	+41.157902	16.563	 0.169	14.821	      	14.877	      	CUU	266	200	c00	2	0	Opt
010.59139	+41.17261	010.591390	+41.172607	15.888	      	15.589	 0.191	15.265	 0.205	UCC	022	011	000	2	0	Opt
010.58689	+41.18258	010.586889	+41.182583	14.456	 0.034	13.888	 0.050	13.659	 0.050	AAA	222	111	000	2	0	Opt
010.61103	+41.15166	010.611032	+41.151657	16.392	 0.137	15.557	 0.156	15.281	 0.198	BCC	222	111	000	2	0	Opt
010.61116	+41.15787	010.611155	+41.157875	15.874	      	15.338	 0.149	14.335	      	UBU	626	020	0c0	2	0	Opt
010.60937	+41.16224	010.609366	+41.162239	15.713	 0.080	14.904	 0.097	14.944	 0.142	AAB	222	111	000	2	0	Opt
010.60952	+41.16800	010.609521	+41.168003	16.656	 0.179	15.094	      	15.255	      	CUU	200	100	s00	2	0	Opt
010.61217	+41.17859	010.612169	+41.178593	15.524	      	15.277	 0.156	14.198	      	UCU	020	010	000	2	0	Opt
010.59329	+41.18364	010.593289	+41.183640	16.639	 0.179	15.730	 0.187	15.391	 0.212	CCC	222	112	00c	2	0	Opt
010.61237	+41.18557	010.612369	+41.185570	16.019	 0.107	15.236	 0.126	15.178	 0.176	ABC	222	111	000	2	0	Opt
010.60284	+41.18242	010.602835	+41.182419	16.409	 0.149	15.739	 0.191	15.536	 0.225	BCD	222	111	000	2	0	Opt
010.61815	+41.18667	010.618154	+41.186672	16.553	 0.172	15.394	      	15.462	 0.226	CUD	202	101	000	2	0	Opt
010.62049	+41.17094	010.620493	+41.170940	16.624	 0.176	15.402	      	15.238	 0.187	CUC	202	101	c00	2	0	Opt
010.61684	+41.17865	010.616845	+41.178650	16.383	 0.146	14.827	      	14.393	      	BUU	200	100	000	2	0	Opt
010.61708	+41.15820	010.617084	+41.158199	15.908	 0.089	15.196	 0.125	14.829	 0.133	ABB	222	111	000	2	0	Opt
010.61506	+41.16751	010.615057	+41.167511	15.215	 0.073	14.663	 0.103	14.266	 0.107	AAA	222	111	sss	2	0	Opt
010.60876	+41.14656	010.608756	+41.146564	16.678	 0.171	15.560	      	15.438	      	CUU	200	100	000	2	0	Opt
010.59489	+41.17002	010.594893	+41.170017	14.762	 0.036	14.138	 0.043	13.921	 0.057	AAA	222	111	000	2	0	Opt
010.59882	+41.17178	010.598823	+41.171776	17.055	 0.265	15.922	 0.228	15.558	 0.250	DDD	222	111	000	2	0	Opt
010.59424	+41.17420	010.594243	+41.174198	13.665	 0.029	13.457	 0.039	13.384	 0.043	AAA	222	111	000	2	0	Opt
010.59544	+41.16003	010.595444	+41.160027	14.745	 0.041	14.110	 0.045	14.004	 0.070	AAA	222	111	000	2	0	Opt
010.59869	+41.16370	010.598691	+41.163696	16.050	 0.102	15.375	 0.144	14.961	 0.147	ABB	222	111	000	2	0	Opt
010.59421	+41.14965	010.594213	+41.149654	16.448	 0.146	15.746	      	15.075	 0.163	BUC	202	101	000	2	0	Opt
010.60056	+41.17624	010.600557	+41.176243	16.910	 0.224	15.835	 0.201	15.437	 0.218	DCD	222	111	000	2	0	Opt
010.60251	+41.15812	010.602506	+41.158123	15.099	 0.053	14.679	 0.081	14.615	 0.115	AAB	222	111	000	2	0	Opt
010.59348	+41.17194	010.593483	+41.171944	16.394	 0.145	15.240	 0.114	15.224	      	BBU	220	110	c00	2	0	Opt
010.60229	+41.15254	010.602289	+41.152542	16.687	 0.171	16.233	 0.284	15.604	 0.261	CDD	222	111	000	2	0	Opt
010.67585	+41.17131	010.675847	+41.171310	16.646	 0.175	15.360	      	14.803	      	CUU	200	100	000	2	0	Opt
010.66944	+41.17592	010.669444	+41.175919	15.635	 0.082	14.806	 0.085	14.602	 0.101	AAA	222	111	000	2	0	Opt
010.68256	+41.16169	010.682557	+41.161694	16.976	 0.229	16.063	 0.203	15.314	 0.172	DCC	222	111	000	2	0	Opt
010.66984	+41.16808	010.669836	+41.168076	13.777	 0.026	13.555	 0.031	13.495	 0.039	AAA	222	111	000	2	0	Opt
010.67375	+41.17490	010.673752	+41.174904	16.288	      	15.548	 0.135	14.846	      	UBU	020	010	000	2	0	Opt
010.67067	+41.17001	010.670671	+41.170013	16.478	 0.149	15.063	      	14.829	      	BUU	266	200	c00	2	0	Opt
010.67045	+41.18485	010.670450	+41.184849	16.134	      	15.324	 0.132	15.448	 0.212	UBC	022	011	000	2	0	Opt
010.67242	+41.17072	010.672416	+41.170719	16.546	 0.164	14.956	      	14.858	      	CUU	266	200	c00	2	0	Opt
010.67254	+41.16475	010.672540	+41.164749	16.877	 0.207	15.729	 0.146	15.473	 0.192	CBC	222	111	000	2	0	Opt
010.68609	+41.18658	010.686087	+41.186577	16.888	 0.218	15.577	 0.147	15.288	 0.175	DBC	222	111	000	2	0	Opt
010.68445	+41.18332	010.684455	+41.183315	16.549	 0.165	15.737	 0.169	14.829	      	CCU	220	110	000	2	0	Opt
010.67081	+41.18179	010.670807	+41.181793	16.647	 0.171	15.882	 0.193	14.797	      	CCU	220	110	000	2	0	Opt
010.68639	+41.17711	010.686386	+41.177113	16.402	 0.169	15.428	 0.139	15.087	 0.159	CBC	222	111	ppp	2	0	Opt
010.64602	+41.18240	010.646018	+41.182396	15.841	      	15.166	      	15.126	 0.164	UUC	002	001	000	2	0	Opt
010.63864	+41.15640	010.638635	+41.156399	17.227	 0.295	16.074	 0.217	15.646	 0.240	DCD	222	111	000	2	0	Opt
010.63670	+41.17493	010.636697	+41.174934	14.394	 0.039	13.920	 0.054	13.832	 0.069	AAA	222	111	000	2	0	Opt
010.63767	+41.18114	010.637667	+41.181141	16.109	 0.122	15.676	 0.205	15.077	 0.181	BCC	222	111	000	2	0	Opt
010.66727	+41.18747	010.667272	+41.187473	16.379	 0.145	15.537	 0.151	15.392	 0.200	BBC	222	111	000	2	0	Opt
010.63519	+41.15953	010.635191	+41.159531	16.550	 0.160	15.312	      	15.343	 0.202	CUC	202	101	000	2	0	Opt
010.63933	+41.17542	010.639332	+41.175423	15.800	 0.089	15.004	 0.112	14.926	 0.150	ABB	222	111	000	2	0	Opt
010.64072	+41.14611	010.640720	+41.146111	17.102	 0.262	15.659	 0.152	14.941	      	DBU	220	110	000	2	0	Opt
010.64101	+41.18654	010.641014	+41.186539	16.621	 0.173	15.634	 0.180	15.285	 0.195	CCC	222	111	000	2	0	Opt
010.63596	+41.16357	010.635960	+41.163570	15.788	 0.094	15.305	 0.143	14.835	 0.128	ABB	222	111	000	2	0	Opt
010.63507	+41.17279	010.635075	+41.172787	15.597	      	15.593	 0.156	14.443	      	UCU	020	010	0c0	2	0	Opt
010.62959	+41.18411	010.629592	+41.184109	16.521	 0.183	15.718	 0.220	15.079	 0.181	CDC	222	111	000	2	0	Opt
010.62715	+41.18405	010.627145	+41.184052	16.645	 0.177	16.082	      	15.168	      	CUU	200	100	000	2	0	Opt
010.62778	+41.17092	010.627778	+41.170925	13.865	 0.043	13.214	 0.043	13.084	 0.038	AAA	222	112	ccc	2	0	Opt
010.62825	+41.16944	010.628250	+41.169437	10.467	 0.021	10.358	 0.024	10.336	 0.018	AAA	222	112	00c	2	0	Opt
010.62968	+41.16703	010.629682	+41.167027	15.229	      	15.709	 0.181	14.417	      	UCU	020	010	0c0	2	0	Opt
010.63403	+41.17441	010.634028	+41.174408	14.163	 0.041	13.490	 0.057	13.264	 0.052	AAA	222	111	000	2	0	Opt
010.62989	+41.14761	010.629891	+41.147606	15.270	 0.070	14.584	 0.076	14.390	 0.087	AAA	222	111	p00	2	0	Opt
010.63063	+41.17864	010.630631	+41.178642	17.015	 0.265	16.114	 0.290	15.216	 0.192	DDC	222	111	000	2	0	Opt
010.63154	+41.18418	010.631537	+41.184177	15.711	      	15.598	 0.197	14.429	      	UCU	020	010	000	2	0	Opt
010.63343	+41.15279	010.633431	+41.152794	16.840	 0.199	15.982	 0.250	15.440	 0.210	CDC	222	111	000	2	0	Opt
010.64167	+41.14695	010.641674	+41.146950	16.049	      	15.566	 0.178	14.379	      	UCU	020	010	000	2	0	Opt
010.63895	+41.18397	010.638946	+41.183971	16.488	 0.148	15.504	 0.167	14.892	 0.138	BCB	222	112	00c	2	0	Opt
010.64334	+41.16204	010.643343	+41.162041	16.582	 0.167	15.670	      	15.414	      	CUU	200	100	000	2	0	Opt
010.64408	+41.18305	010.644076	+41.183052	16.386	 0.151	15.429	 0.139	15.009	 0.153	BBB	222	111	000	2	0	Opt
010.66395	+41.17612	010.663945	+41.176121	16.718	      	16.061	 0.216	15.266	 0.182	UCC	022	011	000	2	0	Opt
010.64452	+41.14719	010.644518	+41.147194	16.212	 0.114	15.218	 0.102	14.753	 0.119	BAB	222	111	000	2	0	Opt
010.66629	+41.17622	010.666292	+41.176216	16.891	 0.227	16.106	 0.221	15.797	 0.278	DDD	222	111	000	2	0	Opt
010.65835	+41.18082	010.658351	+41.180824	16.517	 0.176	14.949	      	14.743	      	CUU	200	100	000	2	0	Opt
010.66354	+41.18472	010.663540	+41.184723	15.870	      	14.794	      	15.277	 0.182	UUC	662	002	00c	2	0	Opt
010.65841	+41.17944	010.658408	+41.179443	16.573	 0.182	15.983	 0.196	15.709	 0.270	CCD	222	111	000	2	0	Opt
010.66041	+41.18488	010.660406	+41.184883	16.721	      	15.786	 0.181	15.110	      	UCU	020	010	000	2	0	Opt
010.66311	+41.17966	010.663114	+41.179661	16.559	 0.173	16.131	 0.241	15.558	 0.214	CDC	222	111	000	2	0	Opt
010.66215	+41.15103	010.662146	+41.151031	16.486	      	15.957	      	15.278	 0.179	UUC	002	001	000	2	0	Opt
010.65242	+41.18138	010.652420	+41.181381	16.491	 0.160	15.376	      	15.174	      	CUU	200	100	000	2	0	Opt
010.65071	+41.18346	010.650708	+41.183460	16.614	 0.194	15.752	 0.180	15.126	 0.158	CCC	222	111	000	2	0	Opt
010.64679	+41.17964	010.646786	+41.179642	16.501	 0.166	15.854	 0.178	15.021	      	CCU	220	110	000	2	0	Opt
010.64858	+41.18153	010.648577	+41.181526	16.904	 0.228	15.867	 0.178	15.199	 0.167	DCC	222	111	000	2	0	Opt
010.65045	+41.17049	010.650449	+41.170490	17.283	      	15.608	 0.169	16.092	      	UCU	020	010	000	2	0	Opt
010.65065	+41.17946	010.650654	+41.179459	15.827	 0.080	15.187	 0.092	15.073	 0.140	AAB	222	111	000	2	0	Opt
010.66665	+41.17398	010.666652	+41.173981	16.505	 0.163	15.135	      	15.353	 0.188	CUC	202	101	000	2	0	Opt
010.66641	+41.16632	010.666413	+41.166321	16.593	 0.180	15.723	      	15.035	      	CUU	200	100	000	2	0	Opt
010.65186	+41.14590	010.651864	+41.145901	13.750	 0.031	13.425	 0.039	13.385	 0.042	AAA	222	111	000	2	0	Opt
010.65215	+41.18666	010.652154	+41.186661	15.714	      	15.641	 0.174	14.368	      	UCU	020	020	0c0	2	0	Opt
010.71137	+41.17589	010.711372	+41.175888	16.053	 0.109	15.776	 0.159	15.063	      	ACU	220	110	cc0	2	0	Opt
010.71226	+41.17959	010.712260	+41.179588	16.386	 0.147	15.713	      	15.736	      	BUU	200	100	c00	2	0	Opt
010.71386	+41.16712	010.713855	+41.167122	16.911	 0.213	15.800	 0.161	15.662	 0.214	CCD	222	111	000	2	0	Opt
010.69904	+41.18055	010.699043	+41.180546	13.648	 0.027	13.367	 0.025	13.372	 0.037	AAA	222	111	000	2	0	Opt
010.69988	+41.16739	010.699881	+41.167389	16.905	 0.209	15.721	 0.162	14.729	      	CCU	220	110	000	2	0	Opt
010.69005	+41.18517	010.690045	+41.185169	16.627	 0.174	15.680	 0.157	15.552	 0.223	CCD	222	111	000	2	0	Opt
010.69197	+41.15914	010.691975	+41.159142	16.755	 0.188	15.677	 0.157	15.427	 0.198	CCC	222	111	000	2	0	Opt
010.69296	+41.16989	010.692956	+41.169888	14.515	 0.034	14.139	 0.045	14.104	 0.064	AAA	222	111	000	2	0	Opt
010.69670	+41.17238	010.696697	+41.172382	16.530	 0.158	14.983	      	15.145	 0.174	CUC	202	101	000	2	0	Opt
010.69969	+41.17760	010.699687	+41.177605	16.430	      	15.728	 0.161	15.298	 0.177	UCC	022	011	000	2	0	Opt
010.69779	+41.15221	010.697790	+41.152210	17.138	 0.247	16.098	 0.218	15.574	 0.206	DDC	222	111	000	2	0	Opt
010.69915	+41.18715	010.699150	+41.187153	15.035	 0.056	14.354	 0.064	14.181	 0.073	AAA	222	111	000	2	0	Opt
010.69918	+41.18314	010.699178	+41.183144	17.027	 0.242	15.803	 0.174	15.078	      	DCU	220	110	c00	2	0	Opt
010.71422	+41.17726	010.714217	+41.177265	12.956	 0.023	12.620	 0.023	12.520	 0.022	AAA	222	111	000	2	0	Opt
010.72826	+41.18444	010.728262	+41.184441	16.329	      	14.995	      	15.132	 0.157	UUC	002	001	000	2	0	Opt
010.73545	+41.18071	010.735452	+41.180710	16.355	 0.124	15.808	 0.169	14.905	      	BCU	220	110	000	2	0	Opt
010.73166	+41.15613	010.731660	+41.156132	16.654	      	15.679	 0.149	15.241	 0.159	UBC	022	011	000	2	0	Opt
010.74440	+41.17477	010.744402	+41.174767	16.636	 0.174	15.146	      	14.868	      	CUU	200	100	000	2	0	Opt
010.72198	+41.15588	010.721983	+41.155884	16.283	      	15.794	 0.168	15.121	      	UCU	020	010	000	2	0	Opt
010.74480	+41.14798	010.744797	+41.147976	15.718	 0.084	14.972	 0.092	14.857	 0.117	AAB	222	111	000	2	0	Opt
010.74554	+41.15245	010.745536	+41.152454	15.750	 0.081	15.214	 0.109	14.941	 0.124	ABB	222	111	000	2	0	Opt
010.74972	+41.18617	010.749715	+41.186165	15.863	      	14.854	      	15.276	 0.172	UUC	002	001	000	2	0	Opt
010.72157	+41.15815	010.721566	+41.158146	16.937	 0.227	16.050	 0.221	15.316	 0.178	DDC	222	111	000	2	0	Opt
010.76396	+41.17142	010.763956	+41.171425	13.557	 0.029	13.045	 0.031	12.980	 0.032	AAA	222	111	000	2	0	Opt
010.75677	+41.18131	010.756774	+41.181313	12.446	 0.023	12.093	 0.022	12.064	 0.022	AAA	222	111	000	2	0	Opt
